slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,row_col
H01CBA03P_104621,2.0852947368765276,74366.76,25428.0,H01CBA03P,-0.7265526711063313,2021-04-20T06:15:11,104621,CS002-2-1618844710875,-412.5,2131.25,2,11,"2,11"
H01CBA03P_104627,2.241026045328597,74443.824,25233.0,H01CBA03P,-0.37867115396415024,2021-04-20T07:51:21,104627,CS002-2-1618844710875,-375.0,2168.75,2,17,"2,17"
H01CBA03P_104628,2.0515588418190016,74443.824,25506.0,H01CBA03P,-0.8204762353059198,2021-04-20T07:53:19,104628,CS002-2-1618844710875,-843.75,2287.5,2,18,"2,18"
H01CBA03P_104624,2.0568843204929514,74251.164,25506.0,H01CBA03P,-0.7276838465730128,2021-04-20T06:52:52,104624,CS002-2-1618844710875,-531.25,2131.25,2,14,"2,14"
H01CBA03P_104626,2.079904007181243,74559.42,25467.0,H01CBA03P,-0.5041149234549012,2021-04-20T07:32:02,104626,CS002-2-1618844710875,-493.75,2131.25,2,16,"2,16"
H01CBA03P_104625,1.9212806653907357,74597.952,25662.0,H01CBA03P,-0.25192482810114386,2021-04-20T07:14:23,104625,CS002-2-1618844710875,-256.25,2012.5,2,15,"2,15"
H01CBA03P_104628,2.0515588418190016,74443.824,25506.0,H01CBA03P,-1.0413954305838613,2021-04-20T09:13:58,104628,CS002-2-1618844710875,-962.5,2325.0,2,18,"2,18"
H01CBA03P_104622,2.0777555129242233,74636.484,25428.0,H01CBA03P,-0.22032025577129496,2021-04-20T06:26:13,104622,CS002-2-1618844710875,131.25,2012.5,2,12,"2,12"
H01CBA01P_104670,1.6580956824703137,75098.868,25584.0,H01CBA01P,0.03128045920389166,2021-04-20T05:51:12,104670,CS002-3-1618897722960,918.75,2943.75,0,0,"0,0"
H01CBA03P_104623,2.0220773283849467,74366.76,25545.0,H01CBA03P,-0.4738314006795838,2021-04-20T06:43:45,104623,CS002-2-1618844710875,56.25,1975.0,2,13,"2,13"
H01CBA01P_105033,1.8173681868874954,74983.272,25350.0,H01CBA01P,-0.5325952359049823,2021-04-20T14:13:12,105033,CS002-3-1618913997119,-18.75,3293.75,0,3,"0,3"
H01CBA03P_105152,1.9873791196912443,74482.356,25584.0,H01CBA03P,0.22077617164313787,2021-04-20T14:14:35,105152,CS002-2-1618913997118,718.75,1506.25,0,2,"0,2"
H01CBA01P_105034,1.5384521017106385,74829.144,25740.0,H01CBA01P,-0.627876747624671,2021-04-20T14:16:30,105034,CS002-3-1618913997119,-18.75,3293.75,0,4,"0,4"
H01CBA03P_105153,1.4266062776413622,75753.912,26286.0,H01CBA03P,0.0930299675698864,2021-04-20T14:19:45,105153,CS002-2-1618913997118,875.0,1587.5,0,3,"0,3"
H01CBA01P_105035,1.6640740184803418,74829.144,25584.0,H01CBA01P,-0.6906673255035818,2021-04-20T14:20:23,105035,CS002-3-1618913997119,-18.75,3293.75,0,5,"0,5"
H01CBA03P_105154,1.3941683352473195,75830.976,26325.0,H01CBA03P,0.2788072525656258,2021-04-20T14:24:28,105154,CS002-2-1618913997118,637.5,1587.5,0,4,"0,4"
H01CBA01P_105036,1.5698568638056907,74829.144,25701.0,H01CBA01P,-0.4081151685925843,2021-04-20T14:25:07,105036,CS002-3-1618913997119,212.5,3218.75,0,6,"0,6"
H01CBA03P_105155,1.9487612481710594,74752.08,25623.0,H01CBA03P,-0.2199795526694742,2021-04-20T14:28:57,105155,CS002-2-1618913997118,93.75,1506.25,0,5,"0,5"
H01CBA01P_105037,1.7211909314975486,73711.716,25506.0,H01CBA01P,-0.7011379709921244,2021-04-20T14:30:53,105037,CS002-3-1618913997119,-18.75,3256.25,0,7,"0,7"
H01CBA03P_105156,1.366653748625012,75638.316,26364.0,H01CBA03P,0.06211474671610674,2021-04-20T14:32:44,105156,CS002-2-1618913997118,793.75,1506.25,0,6,"0,6"
H01CBA01P_105038,1.6020872802674706,74790.612,25662.0,H01CBA01P,-0.4711460512593317,2021-04-20T14:36:32,105038,CS002-3-1618913997119,293.75,3256.25,0,8,"0,8"
H01CBA03P_104629,2.368577679131842,74405.292,25077.0,H01CBA03P,-0.8524765698679323,2021-04-20T09:21:48,104629,CS002-2-1618844710875,-881.25,2287.5,2,19,"2,19"
H01CBA03P_104629,2.3772001046754054,74135.568,25077.0,H01CBA03P,-0.6337510928716338,2021-04-20T09:23:53,104629,CS002-2-1618844710875,-450.0,2093.75,2,19,"2,19"
H01CBA03P_104629,2.123508981279702,74135.568,25389.0,H01CBA03P,-1.0140340084777275,2021-04-20T09:28:13,104629,CS002-2-1618844710875,-762.5,2093.75,2,19,"2,19"
H01CBA03P_104629,2.0831350945045295,74443.824,25428.0,H01CBA03P,-0.9151542051448428,2021-04-20T09:32:51,104629,CS002-2-1618844710875,-725.0,2212.5,2,19,"2,19"
H01CBA03P_104629,2.084214356117121,74405.292,25428.0,H01CBA03P,-0.5051592071890414,2021-04-20T09:34:01,104629,CS002-2-1618844710875,56.25,2056.25,2,19,"2,19"
H01CBA03P_104629,2.052621729826884,74405.292,25506.0,H01CBA03P,-0.6946019250582652,2021-04-20T09:37:05,104629,CS002-2-1618844710875,-762.5,2093.75,2,19,"2,19"
H01CBA03P_104790,1.0635966440165505,75098.868,26754.0,H01CBA03P,0.6569040021595107,2021-04-20T10:13:24,104790,CS002-2-1618913578499,718.75,1275.0,0,0,"0,0"
H01CBA01P_104910,1.597969851346717,74983.272,25662.0,H01CBA01P,-0.4699354741009166,2021-04-20T10:13:41,104910,CS002-3-1618913578500,293.75,3062.5,0,0,"0,0"
H01CBA03P_104790,0.9384556898374556,75098.868,26910.0,H01CBA03P,0.6256215848586296,2021-04-20T10:14:46,104790,CS002-2-1618913578499,718.75,1275.0,0,0,"0,0"
H01CBA03P_105151,0.7469199237009148,75484.188,27183.0,H01CBA03P,0.3734520284112578,2021-04-20T10:20:45,105151,CS002-2-1618913997118,756.25,1506.25,0,1,"0,1"
H01CBA01P_105032,1.3736528012993259,75252.996,25935.0,H01CBA01P,0.15608214890934202,2021-04-20T14:07:27,105032,CS002-3-1618913997119,368.75,3100.0,0,2,"0,2"
H01CBA03P_105151,0.803018138595413,76062.168,27105.0,H01CBA03P,0.37061420730990885,2021-04-20T14:07:54,105151,CS002-2-1618913997118,675.0,1506.25,0,1,"0,1"
H01CBA01P_105030,1.545616830496722,74482.356,25740.0,H01CBA01P,-0.6308002440164763,2021-04-20T14:00:22,105030,CS002-3-1618913997119,-18.75,3375.0,0,0,"0,0"
H01CBA01P_105031,1.6649315879994526,74790.612,25584.0,H01CBA01P,-0.5025565683638774,2021-04-20T14:01:13,105031,CS002-3-1618913997119,-18.75,2981.25,0,1,"0,1"
H01CBA03P_104629,2.0831350945045295,74443.824,25467.0,H01CBA03P,-0.6311267583805951,2021-04-20T10:01:18,104629,CS002-2-1618844710875,-450.0,2056.25,2,19,"2,19"
H01CBA01P_105039,1.6037401999082832,74713.548,25662.0,H01CBA01P,-0.8804044931578634,2021-04-20T14:41:51,105039,CS002-3-1618913997119,-56.25,3412.5,0,9,"0,9"
H01CBA03P_104629,2.079904007181243,74559.42,25428.0,H01CBA03P,-0.4726070023303321,2021-04-20T09:55:34,104629,CS002-2-1618844710875,131.25,2212.5,2,19,"2,19"
H01CBA01P_105045,1.5714756786800157,74752.08,25701.0,H01CBA01P,-0.31425730739894586,2021-04-20T15:25:56,105045,CS002-3-1618913997119,175.0,3256.25,0,15,"0,15"
H01CBA03P_105161,2.0874588628075927,74289.696,25428.0,H01CBA03P,0.0948635474281383,2021-04-20T15:28:32,105161,CS002-2-1618913997118,325.0,1662.5,0,11,"0,11"
H01CBA03P_105162,2.0409902048880832,74829.144,25506.0,H01CBA03P,-0.31393366120546556,2021-04-20T15:29:24,105162,CS002-2-1618913997118,-25.0,1468.75,0,12,"0,12"
H01CBA01P_105046,1.5674348860511604,74944.74,25701.0,H01CBA01P,-0.15672413363896653,2021-04-20T15:32:28,105046,CS002-3-1618913997119,718.75,3331.25,0,16,"0,16"
H01CBA03P_105163,2.044149342494251,74713.548,25506.0,H01CBA03P,-0.22009300322873135,2021-04-20T15:37:11,105163,CS002-2-1618913997118,-25.0,1393.75,0,13,"0,13"
H01CBA01P_105047,1.597969851346717,74983.272,25662.0,H01CBA01P,-0.7832414029200867,2021-04-20T15:39:23,105047,CS002-3-1618913997119,137.5,3412.5,0,17,"0,17"
H01CBA03P_105164,2.0106131288002738,74790.612,25545.0,H01CBA03P,-0.34550530444113786,2021-04-20T15:42:43,105164,CS002-2-1618913997118,-143.75,1350.0,0,14,"0,14"
H01CBA01P_105048,1.6937358940879124,74906.208,25506.0,H01CBA01P,-0.18816580725215595,2021-04-20T15:45:46,105048,CS002-3-1618913997119,256.25,3175.0,0,18,"0,18"
H01CBA03P_105165,2.2064326854122283,73480.524,25311.0,H01CBA03P,-0.22378624477162776,2021-04-20T15:48:59,105165,CS002-2-1618913997118,-62.5,1156.25,0,15,"0,15"
H01CBA01P_105049,1.790626290190288,74790.612,25389.0,H01CBA01P,-0.18845663644119034,2021-04-20T15:50:12,105049,CS002-3-1618913997119,331.25,3175.0,0,19,"0,19"
H01CBA03P_105166,2.143572423854355,73441.992,25389.0,H01CBA03P,0.22390365683020685,2021-04-20T15:53:48,105166,CS002-2-1618913997118,212.5,1081.25,0,16,"0,16"
H01CBA01P_105050,1.718919376641445,75175.932,25467.0,H01CBA01P,-0.3437343692270395,2021-04-20T15:55:34,105050,CS002-3-1618913997119,368.75,3256.25,0,20,"0,20"
H01CBA03P_105167,2.0106131288002738,74790.612,25545.0,H01CBA03P,0.2512758676546632,2021-04-20T15:58:37,105167,CS002-2-1618913997118,212.5,1193.75,0,17,"0,17"
H01CBA03P_105173,2.191290236672334,75060.336,25272.0,H01CBA03P,-1.4084850478867421,2021-04-20T16:34:26,105173,CS002-2-1618913997118,-100.0,1275.0,0,23,"0,23"
H01CBA01P_105056,1.4380191742297772,73519.056,25896.0,H01CBA01P,-0.47929499218492305,2021-04-20T16:36:26,105056,CS002-3-1618913997119,331.25,3643.75,0,26,"0,26"
H01CBA01P_105057,1.5642171850310764,75098.868,25701.0,H01CBA01P,-0.34408710242301865,2021-04-20T16:41:07,105057,CS002-3-1618913997119,450.0,3412.5,0,27,"0,27"
H01CBA03P_105174,2.068141975328742,74983.272,25467.0,H01CBA03P,-0.0626573731874801,2021-04-20T16:45:47,105174,CS002-2-1618913997118,-337.5,1118.75,0,24,"0,24"
H01CBA01P_105058,1.5963288003558342,75060.336,25662.0,H01CBA01P,-0.40685811919120163,2021-04-20T16:46:50,105058,CS002-3-1618913997119,487.5,3412.5,0,28,"0,28"
H01CBA03P_105175,2.038889533490045,74906.208,25506.0,H01CBA03P,0.0,2021-04-20T16:50:58,105175,CS002-2-1618913997118,-375.0,1118.75,0,25,"0,25"
H01CBA01P_105059,1.566629220211337,74983.272,25701.0,H01CBA01P,0.12531482130780067,2021-04-20T16:55:11,105059,CS002-3-1618913997119,643.75,3568.75,0,29,"0,29"
H01CBA03P_105176,2.0420421650119747,74790.612,25506.0,H01CBA03P,0.1570471105080591,2021-04-20T16:56:12,105176,CS002-2-1618913997118,-375.0,1081.25,0,26,"0,26"
H01CBA03P_105156,2.006476498873626,74944.74,25545.0,H01CBA03P,-0.03134478920352412,2021-04-20T15:00:37,105156,CS002-2-1618913997118,368.75,1506.25,0,6,"0,6"
H01CBA01P_105040,1.5117194870366706,74597.952,25779.0,H01CBA01P,-0.535346324208194,2021-04-20T15:00:55,105040,CS002-3-1618913997119,331.25,3256.25,0,10,"0,10"
