date,slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,Biopsy,Debris,Background
2021-04-16,H01CBA02P_99999,3,12506.25,36475.0,69,6556.875,6566.25,-9.375,39,6.883754388743698,33.02751900106342,2.0778024196624756,1,True,False,False
2021-04-16,H01CBA02P_99999,4,12300.0,36725.0,69,6566.25,6566.25,0.0,34,7.830936508602015,28.503457709002625,1.8707239627838135,1,True,False,False
2021-04-16,H01CBA02P_99999,5,18993.75,38237.5,69,6566.25,6558.75,7.5,30,7.209337134711333,13.255347005199166,2.2031071186065674,1,True,False,False
2021-04-16,H01CBA02P_99999,6,24168.75,48656.25,69,6558.75,6613.125,-54.375,63,8.558401639344263,9.448137834767547,2.4672656059265137,1,True,False,False
2021-04-16,H01CBA02P_99999,7,24806.25,48825.0,69,6613.125,6613.125,0.0,34,9.478884533143265,16.684023940604476,1.8128907680511475,1,True,False,False
2021-04-16,H01CBA02P_99999,8,13306.25,52062.5,69,6613.125,6555.0,58.125,3,23.59335764022151,23.559539850937824,2.426164388656616,1,True,False,False
2021-04-16,H01CBA02P_99999,9,14906.25,5462.5,69,6558.125,6554.375,3.75,32,43.099671779168084,37.48810531299895,4.293997526168823,1,True,False,False
2021-04-16,H01CBA02P_100000,0,9518.75,31600.0,37,6630.0,6628.125,1.875,17,24.923996198622,92.56014355757273,3.31440806388855,1,True,False,False
2021-04-16,H01CBA02P_100000,1,8381.25,40925.0,37,6618.125,6621.875,-3.75,20,31.015161388860594,75.32958830007063,2.2061522006988525,1,True,False,False
2021-04-16,H01CBA02P_100000,2,11118.75,23031.25,37,6611.875,6617.5,-5.625,21,33.24891219495638,66.69581964953848,2.5949676036834717,1,True,False,False
2021-04-16,302982_100001,0,15537.5,17650.0,37,6400.0,6407.5,-7.5,22,61.68422428130198,104.55256488990638,3.8937530517578125,1,True,False,False
2021-04-16,H01CBA02P_100002,0,21012.5,23656.25,37,6260.0,6263.75,-3.75,20,45.04618170298855,19.511009429414194,4.096934080123901,1,True,False,False
2021-04-16,H01CBA02P_100002,1,12425.0,9837.5,37,6293.75,6288.125,5.625,15,6.695770966975529,14.977190576702602,2.1139960289001465,1,True,False,False
2021-04-16,H01CBA02P_100002,2,8300.0,44331.25,5,-1.0,-1.0,0.0,-1,-1.0,-1.0,3.984539747238159,0,False,False,True
2021-04-16,H01CBA03P_31,0,16806.25,23231.25,25,7070.0,7073.75,-3.75,14,47.26556358822932,29.18657153565337,3.1906321048736572,1,True,False,False
2021-04-16,H01CBA02P_100010,0,7456.25,37437.5,37,6620.0,6621.875,-1.875,19,13.966187743056857,20.68886874454717,3.56933856010437,1,True,False,False
2021-04-16,H01CBA02P_100010,1,7500.0,28868.75,37,6611.875,6617.5,-5.625,21,39.904472908193924,45.871459584185835,2.204554319381714,1,True,False,False
2021-04-16,H01CBA02P_100010,2,5518.75,15337.5,37,6607.5,6613.125,-5.625,21,40.137289841096795,40.978506837713496,2.3564414978027344,1,True,False,False
2021-04-16,H01CBA02P_100003,0,12843.75,35968.75,37,6440.0,6440.0,0.0,18,23.04055595153243,11.24452221484995,3.894045114517212,1,True,False,False
