aoi_id,aoi_name,aoi_row_idx,aoi_col_idx,grid_id
118,aoi0119,7,1,1
119,aoi0120,7,0,1
120,aoi0121,8,0,1
121,aoi0122,8,1,1
122,aoi0123,8,2,1
123,aoi0124,8,3,1
124,aoi0125,8,4,1
125,aoi0126,8,5,1
126,aoi0127,8,6,1
127,aoi0128,8,7,1
128,aoi0129,8,8,1
129,aoi0130,8,9,1
130,aoi0131,8,10,1
131,aoi0132,8,11,1
132,aoi0133,8,12,1
133,aoi0134,8,13,1
134,aoi0135,8,14,1
135,aoi0136,9,14,1
136,aoi0137,9,13,1
137,aoi0138,9,12,1
138,aoi0139,9,11,1
139,aoi0140,9,10,1
140,aoi0141,9,9,1
141,aoi0142,9,8,1
142,aoi0143,9,7,1
143,aoi0144,9,6,1
144,aoi0145,9,5,1
145,aoi0146,9,4,1
146,aoi0147,9,3,1
147,aoi0148,9,2,1
148,aoi0149,9,1,1
149,aoi0150,9,0,1
150,aoi0151,10,0,1
151,aoi0152,10,1,1
152,aoi0153,10,2,1
153,aoi0154,10,3,1
154,aoi0155,10,4,1
155,aoi0156,10,5,1
156,aoi0157,10,6,1
157,aoi0158,10,7,1
158,aoi0159,10,8,1
159,aoi0160,10,9,1
160,aoi0161,10,10,1
161,aoi0162,10,11,1
162,aoi0163,10,12,1
163,aoi0164,10,13,1
164,aoi0165,10,14,1
165,aoi0166,11,14,1
166,aoi0167,11,13,1
167,aoi0168,11,12,1
168,aoi0169,11,11,1
169,aoi0170,11,10,1
170,aoi0171,11,9,1
171,aoi0172,11,8,1
172,aoi0173,11,7,1
173,aoi0174,11,6,1
174,aoi0175,11,5,1
175,aoi0176,11,4,1
176,aoi0177,11,3,1
177,aoi0178,11,2,1
178,aoi0179,11,1,1
179,aoi0180,11,0,1
180,aoi0181,12,0,1
181,aoi0182,12,1,1
182,aoi0183,12,2,1
183,aoi0184,12,3,1
184,aoi0185,12,4,1
185,aoi0186,12,5,1
186,aoi0187,12,6,1
187,aoi0188,12,7,1
188,aoi0189,12,8,1
189,aoi0190,12,9,1
190,aoi0191,12,10,1
191,aoi0192,12,11,1
192,aoi0193,12,12,1
193,aoi0194,12,13,1
194,aoi0195,12,14,1
195,aoi0196,13,14,1
196,aoi0197,13,13,1
197,aoi0198,13,12,1
198,aoi0199,13,11,1
199,aoi0200,13,10,1
200,aoi0201,13,9,1
201,aoi0202,13,8,1
202,aoi0203,13,7,1
203,aoi0204,13,6,1
204,aoi0205,13,5,1
205,aoi0206,13,4,1
206,aoi0207,13,3,1
207,aoi0208,13,2,1
208,aoi0209,13,1,1
209,aoi0210,13,0,1
210,aoi0211,14,0,1
211,aoi0212,14,1,1
212,aoi0213,14,2,1
213,aoi0214,14,3,1
214,aoi0215,14,4,1
215,aoi0216,14,5,1
216,aoi0217,14,6,1
217,aoi0218,14,7,1
218,aoi0219,14,8,1
219,aoi0220,14,9,1
220,aoi0221,14,10,1
221,aoi0222,14,11,1
222,aoi0223,14,12,1
223,aoi0224,14,13,1
224,aoi0225,14,14,1
225,aoi0226,15,14,1
226,aoi0227,15,13,1
227,aoi0228,15,12,1
228,aoi0229,15,11,1
229,aoi0230,15,10,1
230,aoi0231,15,9,1
231,aoi0232,15,8,1
232,aoi0233,15,7,1
233,aoi0234,15,6,1
234,aoi0235,15,5,1
235,aoi0236,15,4,1
236,aoi0237,15,3,1
237,aoi0238,15,2,1
238,aoi0239,15,1,1
239,aoi0240,15,0,1
240,aoi0241,16,0,1
241,aoi0242,16,1,1
242,aoi0243,16,2,1
243,aoi0244,16,3,1
244,aoi0245,16,4,1
245,aoi0246,16,5,1
246,aoi0247,16,6,1
247,aoi0248,16,7,1
248,aoi0249,16,8,1
249,aoi0250,16,9,1
250,aoi0251,16,10,1
251,aoi0252,16,11,1
252,aoi0253,16,12,1
253,aoi0254,16,13,1
254,aoi0255,16,14,1
